NOP_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,CFNAMM_method,CDISP_method,NOM_type,NIM_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,RFC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOMNAMM_package,LOC_package,NOM_package,is_long_parameters_list
3.0,13.0,1.0,3.0,4.0,0.0,0.0,19.0,0.0,161.0,117.0,68.0,0.095588235,28.0,31.0,0.851851852,0.7777777779999999,24.0,1.631578947,1.6,56.0,874.0,74.0,0.0
0.0,4.0,1.0,0.0,1.0,2.0,1.0,171.0,-1.0,1536.0,749.0,26311.0,0.00178215,285.0,198.0,0.993014706,-1.0,106.0,1.1578947370000001,1.191011236,2134.0,45362.0,3035.0,0.0
10.0,11.0,1.0,13.0,13.0,0.0,0.0,6.0,0.0,150.0,150.0,0.0,1.0,6.0,22.0,0.0,1.0,22.0,3.666666667,3.666666667,322.0,6298.0,410.0,1.0
1.0,1.0,1.0,1.0,-1.0,0.0,0.0,24.0,-1.0,373.0,347.0,218.0,0.21637426899999998,26.0,40.0,0.904347826,-1.0,37.0,1.6666666669999999,1.6818181819999998,219.0,3862.0,227.0,0.0
1.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,8.0,12.0,12.0,8.0,0.0,4.0,3.0,0.0,-1.0,3.0,1.0,1.0,193.0,6579.0,256.0,0.0
16.0,66.0,4.0,16.0,37.0,2.0,1.0,6.0,0.0,336.0,336.0,38.0,0.0,10.0,25.0,0.7894736840000001,0.8,25.0,4.166666667,4.166666667,516.0,21006.0,599.0,1.0
3.0,5.0,1.0,3.0,6.0,1.0,0.0,1.0,0.0,23.0,23.0,3.0,1.0,2.0,1.0,0.0,0.333333333,1.0,1.0,1.0,40.0,1690.0,42.0,0.0
0.0,14.0,4.0,3.0,6.0,2.0,1.0,12.0,5.0,86.0,74.0,80.0,0.527272727,22.0,20.0,0.818181818,0.7692307690000001,18.0,1.6666666669999999,1.8,108.0,1339.0,136.0,0.0
10.0,361.0,43.0,17.0,17.0,0.0,0.0,12.0,195.0,910.0,877.0,551.0,0.321428571,287.0,85.0,0.8787878790000001,0.7777777779999999,83.0,7.083333333,8.3,1076.0,33993.0,1556.0,1.0
1.0,119.0,23.0,20.0,29.0,20.0,0.5,2.0,0.0,225.0,225.0,96.0,0.0,26.0,39.0,0.0,1.0,39.0,19.5,19.5,763.0,14143.0,1136.0,0.0
0.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0,34.0,23.0,23.0,0.0,1.0,46.0,3.0,0.0,1.0,3.0,1.0,1.0,157.0,2316.0,198.0,0.0
3.0,63.0,21.0,4.0,25.0,0.0,0.0,15.0,15.0,150.0,150.0,78.0,0.131868132,18.0,38.0,0.933673469,1.0,38.0,2.5333333330000003,2.5333333330000003,690.0,21327.0,989.0,1.0
1.0,4.0,1.0,1.0,2.0,0.0,0.0,13.0,0.0,222.0,222.0,46.0,0.545454545,15.0,22.0,0.7777777779999999,1.0,22.0,1.692307692,1.692307692,113.0,8814.0,151.0,0.0
0.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,15.0,132.0,132.0,386.0,0.47619047600000003,45.0,21.0,0.7857142859999999,1.0,21.0,2.625,2.625,380.0,5031.0,435.0,0.0
4.0,5.0,2.0,4.0,2.0,4.0,0.5,48.0,47.0,446.0,385.0,2834.0,0.18466899,82.0,73.0,0.901595745,0.7857142859999999,62.0,1.5208333330000001,1.631578947,763.0,14143.0,1136.0,1.0
1.0,43.0,5.0,10.0,13.0,4.0,1.0,48.0,534.0,1116.0,1063.0,1992.0,0.054054054000000004,104.0,115.0,0.994877857,0.402777778,105.0,2.395833333,2.692307692,388.0,8258.0,437.0,0.0
1.0,4.0,1.0,1.0,2.0,0.0,0.0,24.0,0.0,309.0,157.0,88.0,0.11904761900000001,26.0,46.0,0.926086957,0.333333333,30.0,1.9166666669999999,3.75,33.0,790.0,64.0,0.0
3.0,14.0,2.0,6.0,9.0,2.0,1.0,25.0,0.0,312.0,304.0,670.0,0.833333333,41.0,62.0,0.7013888890000001,0.923076923,61.0,2.48,2.541666667,97.0,2639.0,106.0,1.0
3.0,53.0,12.0,12.0,15.0,12.0,0.571428571,4.0,15.0,91.0,91.0,94.0,1.0,19.0,16.0,0.333333333,1.0,16.0,4.0,4.0,380.0,5031.0,435.0,1.0
0.0,4.0,1.0,0.0,1.0,0.0,0.0,23.0,0.0,307.0,295.0,0.0,0.12857142900000001,23.0,33.0,0.875,0.954545455,32.0,1.434782609,1.454545455,34.0,1229.0,42.0,0.0
1.0,4.0,1.0,1.0,8.0,0.0,1.0,5.0,522.0,45.0,24.0,4.0,1.0,11.0,6.0,0.75,0.5,3.0,1.2,1.5,193.0,6579.0,256.0,0.0
3.0,120.0,19.0,16.0,14.0,10.0,0.2,10.0,0.0,612.0,612.0,162.0,0.0,20.0,58.0,1.0,0.0,58.0,5.8,5.8,681.0,19469.0,786.0,1.0
7.0,85.0,5.0,13.0,14.0,16.0,0.5,8.0,-1.0,435.0,435.0,370.0,0.0,21.0,24.0,0.0,-1.0,24.0,3.0,3.0,37.0,1824.0,44.0,1.0
0.0,38.0,5.0,4.0,9.0,3.0,1.0,13.0,18.0,560.0,486.0,199.0,0.018181818,72.0,38.0,1.052083333,1.0,26.0,2.923076923,2.363636364,686.0,18923.0,1266.0,0.0
1.0,3.0,1.0,1.0,1.0,2.0,1.0,21.0,0.0,569.0,569.0,764.0,1.0,53.0,91.0,0.9117647059999999,1.0,91.0,4.333333333,4.333333333,54.0,1422.0,54.0,0.0
5.0,7.0,1.0,5.0,10.0,0.0,0.0,1.0,0.0,20.0,20.0,0.0,1.0,1.0,1.0,0.0,0.166666667,1.0,1.0,1.0,40.0,1690.0,42.0,1.0
0.0,17.0,3.0,6.0,7.0,0.0,0.0,5.0,0.0,174.0,174.0,10.0,0.1,6.0,45.0,0.75,1.0,45.0,9.0,9.0,33.0,943.0,34.0,0.0
0.0,4.0,1.0,0.0,1.0,0.0,0.0,23.0,-1.0,227.0,195.0,421.0,0.36842105299999994,36.0,40.0,0.772727273,-1.0,33.0,1.739130435,1.736842105,1112.0,20586.0,1786.0,0.0
5.0,11.0,1.0,6.0,13.0,0.0,0.0,32.0,0.0,590.0,550.0,72.0,0.19166666699999999,34.0,174.0,0.7771260999999999,0.578947368,166.0,5.4375,6.916666667,97.0,2639.0,106.0,1.0
3.0,4.0,1.0,4.0,8.0,0.0,1.0,22.0,0.0,603.0,603.0,892.0,0.333333333,69.0,114.0,0.9642857140000001,1.0,114.0,5.181818182,5.181818182,32.0,928.0,32.0,0.0
4.0,6.0,1.0,4.0,0.0,0.0,0.0,22.0,5.0,431.0,431.0,0.0,0.0,27.0,22.0,0.0,1.0,22.0,1.0,1.0,381.0,7829.0,395.0,1.0
1.0,4.0,1.0,1.0,1.0,0.0,0.0,4.0,15.0,23.0,23.0,0.0,1.0,4.0,4.0,0.0,1.0,4.0,1.0,1.0,22.0,316.0,22.0,0.0
0.0,6.0,2.0,1.0,4.0,4.0,1.0,18.0,59.0,264.0,264.0,468.0,0.164835165,119.0,31.0,0.882352941,1.0,31.0,1.7222222219999999,1.7222222219999999,257.0,5241.0,262.0,0.0
1.0,97.0,11.0,14.0,37.0,2.0,1.0,13.0,0.0,637.0,577.0,566.0,0.363636364,36.0,56.0,0.9027777779999999,1.0,46.0,4.307692308,5.1111111110000005,2134.0,45362.0,3035.0,1.0
0.0,3.0,1.0,0.0,1.0,0.0,0.0,43.0,0.0,603.0,420.0,1266.0,0.057040997999999996,73.0,86.0,0.9523809520000001,0.58974359,61.0,2.0,2.2592592590000002,348.0,5792.0,436.0,0.0
5.0,42.0,14.0,10.0,16.0,18.0,0.666666667,56.0,0.0,979.0,924.0,4231.0,0.0,116.0,160.0,1.018181818,0.8039215690000001,148.0,2.857142857,3.217391304,748.0,17025.0,928.0,1.0
0.0,167.0,10.0,5.0,57.0,16.0,0.75,35.0,47.0,2656.0,2459.0,9148.0,0.258064516,275.0,262.0,0.9616755790000001,0.4,231.0,7.485714286,7.7,516.0,21006.0,599.0,1.0
0.0,1.0,1.0,0.0,-1.0,0.0,0.0,24.0,-1.0,373.0,347.0,218.0,0.21637426899999998,26.0,40.0,0.904347826,-1.0,37.0,1.6666666669999999,1.6818181819999998,219.0,3862.0,227.0,0.0
1.0,9.0,2.0,1.0,2.0,3.0,1.0,121.0,84.0,1247.0,1190.0,24104.0,0.884542952,421.0,234.0,0.861904762,0.9495798320000001,223.0,1.9338842980000002,1.939130435,634.0,10542.0,699.0,0.0
0.0,9.0,4.0,1.0,2.0,0.0,0.0,32.0,0.0,590.0,550.0,72.0,0.19166666699999999,34.0,174.0,0.7771260999999999,0.578947368,166.0,5.4375,6.916666667,97.0,2639.0,106.0,0.0
0.0,4.0,1.0,0.0,1.0,4.0,1.0,62.0,0.0,619.0,394.0,5347.0,1.0,100.0,63.0,0.945033751,0.590163934,38.0,1.016129032,1.027027027,1060.0,22173.0,1956.0,0.0
1.0,74.0,15.0,9.0,10.0,4.0,0.5,1.0,0.0,88.0,88.0,8.0,1.0,3.0,15.0,0.0,1.0,15.0,15.0,15.0,763.0,14143.0,1136.0,1.0
2.0,6.0,1.0,2.0,3.0,2.0,0.0,10.0,48.0,115.0,95.0,74.0,0.035714286,81.0,11.0,0.977777778,0.666666667,9.0,1.1,1.125,1060.0,22173.0,1956.0,0.0
3.0,4.0,1.0,3.0,5.0,2.0,1.0,6.0,5.0,42.0,42.0,57.0,0.0,24.0,7.0,0.0,1.0,7.0,1.166666667,1.166666667,132.0,2362.0,136.0,0.0
7.0,176.0,23.0,18.0,32.0,6.0,0.428571429,18.0,0.0,538.0,538.0,104.0,0.0,31.0,45.0,1.0,1.0,45.0,2.5,2.5,60.0,1447.0,77.0,1.0
4.0,7.0,1.0,4.0,4.0,0.0,0.0,27.0,-1.0,656.0,656.0,588.0,0.0,42.0,45.0,0.0,-1.0,45.0,1.6666666669999999,1.6666666669999999,415.0,12125.0,523.0,0.0
10.0,140.0,8.0,26.0,52.0,26.0,0.31578947399999996,9.0,522.0,430.0,423.0,338.0,0.333333333,37.0,51.0,0.860294118,1.0,48.0,5.666666667,6.0,260.0,5974.0,288.0,1.0
1.0,10.0,4.0,4.0,8.0,0.0,1.0,33.0,521.0,853.0,787.0,2464.0,0.25,114.0,79.0,0.907094595,0.333333333,69.0,2.393939394,2.555555556,193.0,6579.0,256.0,0.0
3.0,5.0,1.0,3.0,5.0,0.0,0.0,6.0,14.0,50.0,50.0,0.0,1.0,6.0,13.0,0.6,1.0,13.0,2.166666667,2.166666667,97.0,2639.0,106.0,0.0
5.0,20.0,3.0,7.0,15.0,4.0,0.5,17.0,0.0,203.0,193.0,306.0,0.0,31.0,36.0,1.0625,0.818181818,34.0,2.1176470590000003,2.266666667,60.0,1447.0,77.0,1.0
4.0,44.0,8.0,10.0,18.0,12.0,0.75,18.0,15.0,660.0,647.0,1100.0,0.7142857140000001,67.0,67.0,0.889705882,1.0,66.0,3.722222222,3.882352941,380.0,5031.0,435.0,0.0
0.0,4.0,1.0,0.0,1.0,0.0,0.0,36.0,168.0,1440.0,1234.0,899.0,0.11092437,254.0,103.0,0.932467532,0.5625,86.0,2.861111111,3.9090909089999997,543.0,20854.0,812.0,0.0
2.0,14.0,4.0,4.0,8.0,0.0,0.0,25.0,0.0,615.0,615.0,292.0,0.003952569,30.0,100.0,1.0,0.92,100.0,4.0,4.0,388.0,8258.0,437.0,0.0
1.0,3.0,1.0,1.0,0.0,0.0,0.0,14.0,0.0,88.0,78.0,0.0,0.13636363599999998,14.0,28.0,0.871794872,0.857142857,26.0,2.0,2.166666667,783.0,11259.0,840.0,0.0
3.0,3.0,1.0,3.0,2.0,0.0,0.0,26.0,0.0,372.0,372.0,36.0,0.0,27.0,31.0,0.0,1.0,31.0,1.192307692,1.192307692,381.0,7829.0,395.0,0.0
0.0,3.0,1.0,0.0,1.0,0.0,0.0,19.0,30.0,198.0,84.0,257.0,0.16911764699999998,57.0,28.0,0.87037037,0.333333333,16.0,1.473684211,2.285714286,18.0,306.0,34.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0,-1.0,40.0,40.0,0.0,0.0,18.0,18.0,0.0,0.0,18.0,1.0,1.0,523.0,6037.0,728.0,0.0
1.0,4.0,1.0,1.0,2.0,0.0,0.0,5.0,4.0,71.0,52.0,20.0,0.5,15.0,8.0,0.75,0.6,6.0,1.6,2.0,35.0,809.0,37.0,0.0
0.0,92.0,10.0,6.0,26.0,12.0,0.6,25.0,47.0,1183.0,1163.0,2598.0,0.18614718600000002,196.0,139.0,0.975833333,0.6,137.0,5.56,5.956521738999999,75.0,2515.0,81.0,1.0
1.0,25.0,4.0,6.0,6.0,0.0,0.0,23.0,0.0,307.0,295.0,0.0,0.12857142900000001,23.0,33.0,0.875,0.954545455,32.0,1.434782609,1.454545455,34.0,1229.0,42.0,0.0
1.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,11.0,15.0,15.0,0.0,0.0,21.0,2.0,0.0,1.0,2.0,1.0,1.0,5.0,44.0,5.0,0.0
2.0,4.0,1.0,2.0,0.0,0.0,0.0,110.0,92.0,957.0,899.0,3796.0,0.016139993000000002,220.0,158.0,0.9731827809999999,0.89380531,149.0,1.4363636359999998,1.475247525,634.0,10542.0,699.0,0.0
0.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,112.0,58.0,0.0,0.194444444,12.0,12.0,0.848484848,0.5,6.0,1.0,1.0,57.0,889.0,86.0,0.0
4.0,8.0,1.0,4.0,0.0,0.0,0.0,97.0,0.0,739.0,539.0,0.0,0.0,97.0,97.0,1.010416667,0.747252747,74.0,1.0,1.0,669.0,19441.0,821.0,1.0
2.0,152.0,25.0,16.0,29.0,46.0,0.571428571,7.0,0.0,264.0,231.0,168.0,0.133333333,40.0,31.0,0.9,0.571428571,28.0,4.428571429,7.0,111.0,4573.0,116.0,1.0
2.0,13.0,2.0,4.0,7.0,4.0,0.5,3.0,0.0,33.0,33.0,20.0,1.0,5.0,5.0,1.166666667,0.5,5.0,1.6666666669999999,1.6666666669999999,380.0,5031.0,435.0,0.0
4.0,4.0,1.0,4.0,5.0,1.0,0.0,2.0,0.0,14.0,14.0,3.0,1.0,3.0,2.0,2.0,0.666666667,2.0,1.0,1.0,97.0,2639.0,106.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,-1.0,62.0,62.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0,1.0,1.0,121.0,2198.0,142.0,0.0
3.0,10.0,2.0,4.0,5.0,0.0,0.0,11.0,51.0,206.0,191.0,0.0,0.7142857140000001,11.0,23.0,0.833333333,0.9,21.0,2.090909091,2.1,43.0,1157.0,57.0,0.0
1.0,7.0,3.0,1.0,1.0,0.0,0.0,29.0,0.0,1371.0,1371.0,4344.0,0.0,87.0,328.0,0.7232142859999999,1.0,328.0,11.31034483,11.31034483,97.0,2639.0,106.0,0.0
3.0,74.0,13.0,10.0,24.0,16.0,0.333333333,9.0,105.0,340.0,296.0,485.0,0.571428571,180.0,40.0,0.78125,0.75,35.0,4.444444444,5.0,289.0,8970.0,374.0,1.0
10.0,22.0,3.0,11.0,12.0,2.0,1.0,7.0,283.0,390.0,378.0,275.0,0.066666667,391.0,55.0,1.0,0.75,54.0,7.857142857,9.0,387.0,14624.0,551.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,92.0,-1.0,288.0,206.0,0.0,0.0,92.0,92.0,1.010989011,0.0,71.0,1.0,1.0,523.0,6037.0,728.0,0.0
0.0,3.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,197.0,170.0,150.0,0.0,18.0,29.0,1.1,0.8888888890000001,25.0,2.636363636,2.5,219.0,3862.0,227.0,0.0
2.0,41.0,20.0,13.0,22.0,2.0,0.4,22.0,0.0,603.0,603.0,892.0,0.333333333,69.0,114.0,0.9642857140000001,1.0,114.0,5.181818182,5.181818182,32.0,928.0,32.0,1.0
